name;address;latitude;longitude;tel1;tel2
千鼎租车;谢家湾正街47号附46号;29.5168;106.517;023-86763999;null
久航租车;华岩寺路20号附近;29.4934;106.4483;null;null
米格尔·宜嘉酒店-租车服务;红锦大道567号米格尔酒店;29.6061;106.5187;023-67622000;null
盼达用车(寸滩港城东路店);港城东环路6;29.6282;106.6643;null;null
顺意汽车租赁;青龙路291号西南70米;30.9312;108.6953;023-55119886;18523291133
婚庆租车;科城路166号协信彩云湖1号3期附近;29.5127;106.4785;null;null
铄灵租车;跃进路北50米;29.4946;106.4931;null;null
盼达用车;江北国际机场T2航站楼对面;29.7192;106.6352;null;null
飞浩租车;火炬一路;29.5033;106.4882;null;null
地中装网约车;金源路64号附12号;29.5607;106.5296;023-68821192;null
华厦汽车租赁有限公司票务中心;八一路218号雅地天际18层;29.5556;106.5769;null;null
同舟汽车租赁(渝北项目部);长福路179号;29.6797;106.5935;13883151807;18183110168
共资租车;三湾路16号附25号2-37;29.5687;106.5156;023-67115123;15223280180
鼎炫汽车租赁公司;人民西路1号AC世纪城5幢;29.3498;105.9301;023-49888123;null
一笑汽车服务有限公司;白鹤路渝南二手车市场B29;29.5166;106.5461;17823999311;null
盼达用车(力帆棠悦);新溉大道251号(力帆棠悦售楼中心对面);29.6005;106.5366;null;null
名尚汽车租赁;桃园路160号附146号;29.5134;106.5475;023-62390089;null
赛维斯汽车服务有限公司;马王乡龙泉村55号附1号;29.4961;106.4839;null;null
途安租车;白鹤路美全世纪城4.5栋1-33;29.5161;106.5478;023-62770700;null
启顺租车;西郊路附近;29.4918;106.503;null;null
陆航租车;金渝大道56号附96号;29.6452;106.5647;023-63421366;15922910299
重庆灵宇汽车租赁有限公司;杨家坪西城天街A座25层13号;29.5103;106.518;18680811197;null
重庆车佳汇汽车租赁有限公司;红锦大道57号嘉州协信中心B栋617;29.5893;106.5241;023-81304031;null
艾宜租车;龙州大道10号(风花树)红绿灯旁;29.3864;106.5372;null;null
重庆市出租汽车有限责任公司汽车租赁;红黄路90号中北商务大楼B座6层;29.5859;106.5322;023-67525800;null
百分百租车;公园北路230号附7号;29.3943;106.54;17783852717;null
满天星;欧簏花圆剑桥郡;29.4615;106.6228;13308336203;null
颂车小站(05016);龙洲大道;29.4054;106.537;null;null
乐用租车(璧山店);金剑路500号14幢13号(原杜鹃6栋13号);29.5609;106.23;023-41463446;17723536423
众慕租车;云锦路307附18号附近;29.3725;106.5037;null;null
尚益达租车(龙头寺分店);龙头寺天宫大道97号附22号;29.6009;106.5511;023-67880076;023-60368615
海泰汽车租赁;永盛路附近;29.5932;106.3753;null;null
颂车小站(01026);兴塘路2号附5号;29.504;106.652;4000450968;null
客来好租车;鸳鸯北路18-3号附近;29.6652;106.5569;null;null
重庆大明汽车租赁有限公司;南区路160号南园大酒店1-2层;29.5514;106.5536;023-63601618;null
巴南恒初租车公司;渝南大道万达广场楼上;29.3996;106.544;13996135271;null
金美租车;龙海大道3幢6号南70米;29.3993;106.5383;null;null
盟盟同行租车;光彩大道368号鸿达宾馆旁;29.3871;105.8833;null;null
大方租车;通江大道附近;29.5053;106.6546;null;null
重庆协程租车公司;红黄路445号七彩空间1栋16-6;29.5864;106.5441;023-67876715;4000022139
奇缘汽车租赁;西华路与铝城四路交叉口北50米;29.3006;106.3277;15320512569;18983474576
傲冠租车;旗山路250-1号附近;29.5912;106.4908;023-67584311;null
盼达用车(星汇两江);星汇两江艺术商业中心1区广场;29.6171;106.5025;null;null
吉强租车;宏声路36号20附近;29.5311;106.5724;13983011575;null
南坪宝晟源租车公司;江南大道8号-附17号;29.5256;106.5693;13308395939;null
欣驰租车(大龙山店);松石支路206附近;29.5922;106.5025;null;null
凯尊租车;南湖路18号;29.5158;106.5691;13883979299;null
柒月租车(龙头寺店);天宫大道97附22号;29.6009;106.5512;null;null
南坪辉梦租车;江南大道69号海德酒店;29.5203;106.5757;null;null
途牛租车;龙溪街道松牌路149号附4号;29.5967;106.5176;13368212223;null
大方租车;杨梨路206附近;29.5531;106.4397;null;null
二娃车车;移动商店,出租车正规出租车;29.5537;106.5739;15111806111;null
宜帆租车;盘溪三支路3号附近;29.5936;106.4819;null;null
亮典租车;洋河北路9号附4号;29.5862;106.5369;023-86716021;null
重庆名艺汽车租赁;钢花路1032号;29.4698;106.4856;18580029132;null
田雨租车;建新东路81号-西40米附近;29.5792;106.5565;13983097462;null
弹个车体验店融汇大道;李家沱融汇半岛融汇大道56号;29.4675;106.5164;18723332246;null
兄弟租车行;桂南大道1附7附近;30.3184;107.3392;18225233118;null
鸿途汽车租凭;云江大道1732号附近;30.9368;108.6933;null;null
平安汽车有限公司租赁部;南宾镇二环路万寿大道47号;29.9949;108.1203;null;null
勇程租车;洋河路74附近;29.5788;106.5418;null;null
盼达用车(石子山体育公园);石子山体育公园北门2号岗室外停车场;29.6053;106.4904;null;null
锐雯汽车租赁有限公司;环球广场九楼E2-3;29.5589;106.5465;null;null
神州租车;松石支路与龙山三路交叉口西150米;29.5952;106.5007;4006166666;null
递谊租车;朝阳路6号附近;29.5171;106.4534;null;null
陆裕汽车租赁;杨公桥与杨梨路交叉口西南100米;29.5625;106.4478;null;null
帷幄租车;人民路197号附近;29.5596;106.5509;null;null
乐淘租车;经开区南湖路26号10幢1-13号;29.5133;106.5667;023-62771116;null
头等舱租车;红石路3-10号西南70米;29.582;106.5201;18623459119;null
OTOT租车;松石大道119号附近;29.5829;106.5018;null;null
瓦尔塔电池汽车租赁;沙坪坝站西路;29.5552;106.4521;null;null
拉恩租车;南兴路228号-附23号附近;29.5199;106.5717;null;null
狼群汽车租赁;龙吟支路和龙吟路的交叉口附近;29.4935;106.5421;null;null
盼达用车(两江天地);金开大道两江天地迪卡侬前;29.6248;106.5303;null;null
市租租赁;红黄路89号中北大楼临街门面;29.5861;106.5323;null;null
启达租车;康园路1号附近;29.6009;106.5299;null;null
黄桷坪川美;黄桷坪正街建新路黄桷坪正街停车场建新路;29.4898;106.5437;null;null
南坪恒初租车公司;江南大道8号-附4号;29.5266;106.5687;13996135271;null
永鼎租车;龙山大道188附近;29.5889;106.4994;null;null
重庆凯利捷租车;江南大道8号-附22号;29.5249;106.5699;18983352070;null
珠峰汽车租贸;107省道与208省道交叉口南150米;29.2652;106.2314;null;null
绿领租车;大庙村附近;29.9726;106.4063;null;null
双天汽车租赁;几江街道泡桐树街8号;29.2787;106.2557;null;null
中远租车行;江南大道35号山河大厦;29.5237;106.5726;023-89816386;023-66640759
臻畅汽车租赁;泡桐树街;29.2764;106.2556;null;null
旺川汽车租赁公司;昌州大道西段107附近;29.3663;105.8874;null;null
神州租车;滨江大道西段133号附近;29.2812;106.2476;null;null
千里达租车行;光彩大道与G85渝昆高速交叉口东北50米;29.3709;105.8772;null;null
德感汽车租赁;德感正街17附近;29.2765;106.2356;null;null
神州租车;白塔支路与白塔路交叉口西150米;29.9803;106.2736;null;null
一嗨租车(翠云轻轨站送车点);金开大道1791号;29.6857;106.5729;null;null
乐泰汽车租赁;大洪河正街与长洪公路交叉口北150米;30.0024;106.9601;null;null
汽车租赁;滨江大道附近;29.7026;107.408;null;null
跃海汽车租赁;回龙路三号楼疾控中心旁;29.0442;106.6444;null;null
HY&徐豪车租赁;和顺大道381附近;29.3652;105.951;null;null
顺鑫汽车租赁有限公司;滨河大道附近;29.0399;106.6842;null;null
瑞程汽车租赁有限公司;金川大道电子园公寓L号门;29.8406;106.0886;null;null
运安汽车租赁;龙城大道;29.8518;106.0802;null;null
李小姐的店;大新街105附1号附近;29.2537;106.9811;null;null
龙吉汽车租赁有限公司;迎宾路258附近;29.8289;106.0561;null;null
琦琦汽车租赁;巴川街道办事处云龙街94号;29.8376;106.054;023-45686565;15310192029
快诺汽车租赁;建兰路与石新路交叉口西50米;29.5188;106.4567;null;null
一嗨租车(鲁能星城送车点);鲁能大道666号鲁能星城9街区A区麦当劳门口;29.595;106.5604;023-63067217;null
盼达用车(康田西锦);科技大道120号;29.5091;106.4587;null;null
一嗨租车（光电园送车点）;黄山大道中段星汇两江旁;29.6166;106.5024;023-67561169;null
一嗨租车(红旗河沟送车点);红旗河沟渝通宾馆门口;29.5869;106.5262;023-67561169;null
至尊用车(重庆解放碑店);解放碑较场口恒通云鼎国际公寓A座10-4号;29.5547;106.5762;18602327700;null
尊腾汽车租赁;滨港路73附13号(碧津3号线轻轨站上行200米);29.7134;106.6325;023-67175113;null
睿驰租车;李家沱正街时代壹佰7-4;29.4642;106.5461;18983352070;null
鸿运汽车租赁一公司;北山大道184号;30.8216;108.3892;null;null
创业路;创业大道97号华伟冻库室外停车场;29.5022;106.4495;null;null
永鼎租车(奥体店);奥体五支路33号附近;29.5238;106.5087;null;null
重庆爱妃汽车租赁有限公司;大竹林街道楠竹路5号1-1-6;29.6234;106.4795;null;null
一嗨租车(东和春天送车点);松石路东和春天交通银行旁;29.5917;106.5046;023-67561169;null
盼达用车(鼎吉驾校);陈家桥轻轨站出口20米;29.6077;106.3289;null;null
重庆华畅租车;科园四路龙湖新壹城1号楼4033号;29.5288;106.4919;023-68032252;null
龙腾汽车租赁;青龙路132号;30.928;108.6975;023-85868111;15334605756
九龙坡万庆租车公司;渝州路29号;29.5334;106.4865;null;null
重庆速运汽车租赁有限公司;人和香锦路4号;29.6143;106.5316;null;null
启顺租车;渝新路235号半山公馆斜对面;29.5388;106.4856;023-68882937;023-88603423
滨江租车行;江滨路69号北80米;29.3892;106.5154;null;null
凯利捷租车;鱼胡路4-27附近;29.3757;106.5338;null;null
颂车小站(02023);左岸陈桥37号附3号;29.6176;106.3404;null;null
园博汽车租赁;金剑路416附近;29.5779;106.2309;null;null
大方租车;兰馨大道6号14幢10附近;29.6988;106.6057;null;null
颂车小站(02007);大学城南路;29.5989;106.2995;null;null
重庆超程环卫有限公司;龙溪镇松石支路51号1幢1-8-3;29.7035;106.5983;18623321299;null
辉腾租车(洋河一路店);洋河2村66号;29.5808;106.5303;13350311788;null
颂车小站(02021);大学城南一路;29.5832;106.283;null;null
盼达用车(思源福居);复兴街思源福居公租房三组团内;29.808;106.553;null;null
携程重庆机场租车中心;两路街道江北机场T2对面;29.717;106.6354;15683276555;null
服众快车;到丁家永川;29.4814;106.2424;15223101979;null
乾亨租车;双龙东路126号;29.7038;106.6283;null;null
车速递租车;双龙东路124附近;29.7038;106.6283;null;null
辉逢汽车租赁;云开路1号附近;29.8159;106.3981;null;null
太享利房车租赁;泉山路北50米;29.5872;106.2122;null;null
重庆金钥匙科技服务有限公司;龙山二路6-附12号附近;29.5974;106.5013;null;null
邦达租车市租三公司;空港大道596号附近;29.7396;106.64;null;null
泰东租凭;几江街道鼎山大道351号;29.2786;106.2594;null;null
朋源租车;铝城西路;29.3038;106.3313;null;null
悟空租车(东湖南路店);东湖南路82附近;29.6026;106.5419;null;null
重庆凯利捷租车;南坪镇学府大道50号附6号;29.4974;106.5731;18983977848;null
畅通汽车租赁;青龙路四巷9号;30.9319;108.6951;15823720118;null
巴南名艺租车公司;融汇大道西流沱巨星花园A区;29.4608;106.5202;18580029132;null
重庆道达汽车租赁公司;华玉路433号附10号;29.4835;106.4366;19908327779;null
盼达用车(金凤电子产业园);凤笙路金凤电子产业园园区宿舍大门内;29.5389;106.3134;null;null
滴滴租车;null;29.6023;106.5512;null;null
桐叶租车(重庆北站店);丁香路8号附14号;29.6022;106.5513;023-67684208;null
古道租车行;黄桷垭后街26号附近;29.5364;106.6034;null;null
颂车小站(05017);渝南大道52号;29.4663;106.5624;null;null
好运道汽车租赁;民安大道136号附近;29.6112;106.527;null;null
忠义龙;仁和压铸有限公司;29.6191;106.4778;13658286478;null
达至汽车租赁有限公司;协信星光天地4栋17-4;29.6277;106.5328;023-63885402;null
一嗨租车(九公里店);渝南大道70号附74号;29.4579;106.5581;13274006797;null
颂车小站(04015);天吉路;29.6171;106.5473;null;null
盼达用车(四公里枢纽站);烟雨路四公里枢纽站出租车入口处;29.517;106.5783;null;null
69号超跑租赁;天福路61号附21号;29.6194;106.5538;null;null
快诺汽车租赁;渝南大道128号东北80米;29.4343;106.5511;null;null
艺城租赁;腾龙大道61附近;29.5991;106.6003;null;null
盼达用车(国博中心);国际博览中心北登陆厅正前方150米P2停车场;29.7256;106.5462;null;null
KK租车;渝澳大道1912-1914号附近;29.5851;106.5212;null;null
新东福汽车租赁;洋河北路11号附7号;29.5861;106.5381;13350334356;null
悟空租车(江北机场);江北机场国内到达6号门;29.7175;106.6382;null;null
宜度租车;晶瑞大厦2栋15楼;29.5992;106.5481;null;null
盼达用车(龙兴福居);普福大道龙兴福居公租房商业街停车场出口;29.7128;106.7887;null;null
至尊用车(重庆沙坪坝店);汉渝路13号附1号8-1号;29.5584;106.4658;023-63736671;null
渝运租赁;泰山大道东段119号集散中心;29.6061;106.5532;null;null
君畅租车;回兴城北蓝色星空1幢(回兴立交东);29.6774;106.6093;null;null
顺达汽车租赁;桃花源大道中路与桃花源大道南路交叉口东南50米;28.833;108.7687;023-75581111;13193241777
盼达用车(天堡福居);龙兴镇两江大道天堡福居公租房小区;29.6835;106.7606;null;null
重庆尊呈租车公司;红原路111号东原D7区三期2栋18-8号;29.5715;106.4983;13340224777;null
一嗨租车(汽博中心送车点);金童路轻轨站2号出口复地复城国际旁;29.6435;106.5677;023-63067217;null
众信汽车租赁;双龙西路与飞湖路交叉口北100米;29.7047;106.618;null;null
宏达汽车租赁有限公司;八一路260号恒通云鼎A座19楼4室(恒通大厦);29.5543;106.5763;15159908698;null
荣归租车(江北机场店);江北国际机场停车场1区;29.7137;106.636;15823111163;null
盼达用车(大学城地铁站);大学城北路139号(大学城地铁站旁);29.6077;106.31;null;null
诚运租赁公司;钟楼支路2号附2号;29.1532;107.0963;023-85622888;null
邦能汽车租赁;渝新路260号附2号;29.5375;106.4873;023-68526026;13637777573
金港租车(珠江国际店);北城路珠江国际B区车库旁;29.5722;106.5614;null;null
酉州车行;桃花源镇翠屏山大道中路11号;28.837;108.7707;023-75581566;18325230655
华狮租车(科园六路店);科园六路附87号;29.5326;106.4988;13436000009;13708358145
盼达用车(绿城两江御园);龙兴镇绿城两江御园售房部东侧;29.6869;106.814;null;null
盼达用车(天骄年华);凤天大道巴味堂正门;29.5325;106.4561;null;null
福斯德汽车租赁;太白路99号附7号1-37;30.807;108.3802;023-58123933;13983525315
盼达用车(天鑫花园);花园中路94附9号;29.5398;106.4533;null;null
喜亿租车(兴盛大道店);兴盛大道36号;29.5863;106.5474;023-67101199;18883333005
万运汽车租赁;国本支路9号;30.8166;108.3693;023-58126678;18323721678
神州租车(朝天门广场点);信义街与朝千路交叉口东北100米;29.5663;106.5871;4006166666;null
奔途汽车租赁有限公司;-江北-五里店五里店原茶园车站现融景城车站旁;29.5863;106.5646;18983028819;null
盼达用车(升伟·中环广场);虎歇路升伟·中环广场露天停车场;29.5437;106.4995;null;null
盼达用车(巴国城);红狮大道6号巴国城石生国际茶城门前;29.5;106.4752;null;null
宜帆租车(龙湖源著南区);龙湖源著南区21幢18-15;29.6;106.4897;023-86911468;null
重庆中天汽车租赁有限公司;冉家坝龙湖紫都星座B栋404;29.5846;106.4972;023-67534376;null
盼达用车(启迪协信城立方);大学城启迪协信城立方西区商业2对街画线停车位;29.5831;106.3114;023-86064346;null
盼达用车(盘龙金茂悦);盘龙正街金茂悦商场露天停车场内;29.5071;106.493;null;null
迪卡租车;西子路51号附近;29.4998;106.5181;023-68031292;null
环磊租车;天宝路与直港大道交叉口东北50米;29.5093;106.5217;null;null
一嗨租车(皇冠假日酒店送车点);南坪东路587号重庆滨江皇冠假日酒店内;29.5401;106.5827;023-62819901;null
尚磊汽车租赁;虎头岩立交;29.5456;106.4968;null;null
巴山驾校;石美路巴山公交站旁驾校内;29.5205;106.468;null;null
酉阳县旺顺租车行;桃花源大道中路219号华章财富国际2F38号;28.8339;108.7689;13224042666;null
重庆亨韵汽车租赁有限公司;小龙坎新街99号12-c2;29.5598;106.4621;023-65361521;15823422110
途泰汽车租赁;交通路189号附近;29.5261;108.7693;null;null
途信租车(官坝店);官坝路汽车东站进口斜对面;29.5265;108.7906;13272663456;null
吉景商贸有限公司汽车租赁部;建北一支路8号新上海大厦A栋06-20号;29.5746;106.5338;null;null
久航租车;石新路61号3单元2层;29.5213;106.474;023-68611314;null
驹安行汽车租赁有限公司;观音桥建新西路4号附7号拓展大厦18层;29.5722;106.5315;null;null
盼达用车(君顿秀邸酒店);服装城大道48号君顿秀邸酒店停车场(酒店正大门左侧);29.6649;106.6157;null;null
重庆万国汽车租赁有限公司;长江一路69号万国大厦商务D区;29.5471;106.531;null;null
华达租车;江城大道378号(合川区政府斜对面);29.9726;106.2789;null;null
重庆天创汽车租赁有限公司;西科二路30号;29.6011;106.3819;023-65665107;17723530226
七七租车;金建路中国邮政南100米二姐平价超市旁;29.4449;106.4474;15086709080;null
递谊租车;石坪桥横街58号附近;29.5176;106.5043;null;null
盼达用车(大竹林轻轨站);恒山东路与恒山西路交叉口东南附近;29.6289;106.4789;null;null
盼达用车(互联网产业园);两江新区互联网产业园C7栋4层;29.6226;106.4924;null;null
一嗨租车(沙坪公园送车点);沙坪坝公园南门;29.5508;106.4581;023-65803580;null
启顺租车石桥铺分公司;长大路2号半山公馆对面;29.5389;106.4857;023-88603423;null
重庆华泰汽车租赁有限公司;民族路18号新重庆公寓9层;29.5613;106.5821;null;null
安达小汽车租赁公司;二环路;29.992;108.1176;15736664885;15730255809
捷通汽车租赁;高笋塘1号附6号(万州宾馆停车场入口处);30.812;108.378;023-58256699;null
乐达汽车租赁;松石北路与松石支路交叉口西北50米;29.5849;106.5037;null;null
瑞安租车(珊瑚路);南坪西路1号西计大厦9层;29.5281;106.5673;023-86228388;null
石井坡(中心路);石井坡街道中心湾中心路旁停车场;29.5963;106.4427;null;null
恒冠租车;泰山大道东段29号;29.605;106.5445;null;null
重庆恒冠汽车租赁;泰山大道东段39号;29.6051;106.5445;023-66978888;13228548888
泰东租赁柏林分公司;鼎山街道鼎山大道351号;29.2786;106.2595;023-47565099;13594652999
市租汽车租赁;红黄路89号中北大楼旁;29.5863;106.5324;null;null
鑫煌租车;金龙路12号尖峰茶楼停车场;29.5835;106.512;13667690269;15215119818
重庆良鸿汽车租赁有限公司;科园一路3号渝高大厦4层11;29.5315;106.4857;null;null
丰华租车;大石坝首创鸿恩4期1号楼12-16;29.572;106.4992;023-86860046;18883671810
豪邦租车;新溉大道231号附12号;29.6016;106.5337;023-60390267;null
腾达汽车租赁(重庆店);建北四支路2号北辰名都1层;29.577;106.5302;023-67966026;null
福安租车;金龙路与龙华大道交叉口南50米;29.5896;106.5172;null;null
盼达用车(停用);中医院对面商社物流公司内;29.4937;106.4849;null;null
盼达用车;大学城思贤路东方剑桥春风幼儿园对面;29.5885;106.3054;null;null
铄灵租车;凯歌三支路8号;29.6949;106.6111;023-67343371;15310447162
驰翔租车;盘溪四支路170号附近;29.5858;106.486;null;null
庆旅租车(云岗路店);云岗路2号附24号;29.6103;106.5261;13370768111;null
巨顺汽车租赁有限公司;石坪桥横街1号;29.5184;106.5056;15310337599;18996205229
重庆交运租赁(海棠溪旗舰店);烟雨路重庆四公里交通枢纽站旁;29.5187;106.578;023-62881133;null
乐升租车(白鹤路店);白鹤路52号附5-附8号;29.5161;106.5478;023-86336716;15683451319
盼达用车(白鹤枢纽站);南湖支路白鹤枢纽站电动客车充电站背后停车场;29.5111;106.566;null;null
和瑞租车(九龙坡店);白马凼建材市场旁;29.5388;106.4787;null;null
天天租车(红军路);红军路与翠屏山大道南路交叉口西100米;28.8264;108.7743;13101178585;null
优蓝汽车租赁;南坪正街96号附近;29.5376;106.5697;null;null
重庆东和汽车租赁有限公司;鼎山大道261号附2-4;29.2768;106.2565;023-47222777;13637887223
重庆上邦汽车租赁公司;南坪东路15号新洲大厦;29.5295;106.572;15922617673;null
甲壳虫租车公司;拓展路与腾滨路交叉口东北50米;29.5921;106.5917;null;null
一嗨租车(五里店送车点);五里店欧亚达家居生活广场;29.583;106.562;023-63067217;null
荣升租车;党校路与天梨路交叉口西北50米;29.5498;106.4505;null;null
万庆租车;天梨路218号附9号;29.5514;106.4398;13399880875;null
168租赁行;桃花源大道南路369号;28.8246;108.7748;13996951022;15023992333
假日租车(北部尚座店);红石路5号北部尚座31-10室;29.5829;106.5248;023-68171077;023-68171369
先建租车(长生路);长生路47附52号附近;29.5036;106.6628;null;null
先建汽车租赁(腾黄路);弹子石红星腾黄路盘龙花园B区西门;29.5997;106.6024;4000023991;13047388858
神行者租车(金港路);金港路138号;29.6841;106.5993;023-61302211;null
诚必合租车;天马山沿河西路陈家桥医院西北50米;29.616;106.337;023-65008006;17723779767
沙坪坝富荔源租车公司;汉渝路18附14号;29.5579;106.4675;023-65335899;13658361188
东尊租车;宏帆路3附近;29.5919;106.4629;023-67669759;null
乐亿美租车;杨梨路融汇温泉城圣地亚北区224号附2号;29.5528;106.4396;18223221968;null
创言汽车;天宫大道97附17-18号附近;29.6013;106.5511;null;null
渝汇汽车经纪有限公司;海尔路199号;29.6138;106.5794;13320260220;null
宜帆租车(新南路店);新南路145号附12号;29.6;106.5134;023-67122419;15870477855
干鼎租车;大坪长江二路174号长城酒店1楼;29.5336;106.5148;023-68960692;null
速达汽车租赁;跃进支路与跃进路交叉口东150米;29.4892;106.4959;null;null
优达汽车租赁签约中心;大坪时代天街3号3107室;29.5387;106.5121;17388290777;null
星昊租车;五童街与红黄路交叉口东北50米;29.5884;106.5405;15002346868;null
中祥租车(冉家坝店);旗龙路60号附27号(太阳园车库出口)左侧;29.5936;106.4949;18723231606;null
立荣租车;港汇路88号附108号;29.7313;106.6322;null;null
明双租车;龙头寺天宫大道136号;29.6013;106.5503;023-67535250;18302388880
崇熙租车;奥体五支路金牌大厦12-7号;29.5237;106.5086;023-86378976;4006696595
宜帆租车(龙山一路店);龙山一路322号;29.5989;106.4946;13883222230;null
盼达用车(石桥广场);渝州路59号石桥广场停车场;29.5364;106.4925;null;null
尚益达租车(龙头寺店);泰山大道东段60号附10号;29.6028;106.5523;023-67880076;15223339122
松源汽车租赁;红锦大道570号(近锦绣山庄);29.6102;106.5215;023-67504500;null
专城租车;嘉华隧道与大坪正街交叉口西100米;29.5408;106.5196;023-68009096;15025302950
盼达用车(海洲国际);新牌坊云杉北路81号海洲国际小区露天停车场;29.6138;106.5186;null;null
盼达用车(重庆师范大学);站西路重庆师范大学后门50米处(沙铁村对面停车场内);29.5556;106.4538;null;null
汇程租车;龙塔街道华园路一巷38号;29.6026;106.559;13251321888;18523162317
西捷租车;五黄路与渝鲁大道交叉口东南150米;29.5856;106.5628;null;null
科达租车(龙头寺店);新溉大道402号附35号;29.5983;106.5537;15823111127;null
金美租车(龙头寺店);丁香路8号附16号;29.6021;106.5512;023-67684208;023-67717690
盼达用车(大黄路);大黄路公交车站天澄堡社区旁;29.5358;106.5225;null;null
呼应汽车租赁(余松一支路);余松一支路2号附近;29.585;106.4971;13667695553;null
一嗨租车(燕山会馆送车点);红原路92号;29.5686;106.4892;023-63276280;023-67561169
一嗨租车(解放碑便捷点);新华路201号联合国际车库入口;29.5571;106.5821;15683685848;null
重庆市先建汽车租赁有限公司;涂山路574号4-1;29.5777;106.601;023-62787585;023-62508245
华廷租车;松牌路96号;29.5907;106.5144;null;null
重庆嘉禾婚车租赁;花园路10号龙锦苑小区3栋17-6;29.5268;106.5554;13983699975;null
悟空租车(火车北站);丁香路8-16号;29.6023;106.5514;023-67684208;4000515507
中安汽车租赁;红锦大道与锦坪街交叉口东北50米;29.5891;106.5253;null;null
鑫汇汽车租赁公司;龙泉路71号;29.4954;106.4885;023-68837466;null
中南汽租;红黄路20号(洋河三路路口);29.5856;106.5327;null;null
盼达用车(邢家桥社区);万年路邢家桥社区停车场内;29.6195;106.5295;null;null
